978-7-115-42839-0|10002|2026-05-16 22:41:07|2026-06-15 22:41:07|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-121-29807-0|10002|2026-05-16 22:41:20|2026-06-15 22:41:20|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10002|2026-05-17 10:54:10|2026-06-16 10:54:10|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10003|2026-05-17 10:54:39|2026-06-16 10:54:39|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10002|2026-05-17 11:31:54|2026-06-16 11:31:54|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10002|2026-05-17 12:03:53|2026-06-16 12:03:53|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10003|2026-05-17 12:04:07|2026-06-16 12:04:07||false|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10002|2026-05-17 12:05:25|2026-06-16 12:05:25|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10002|2026-05-17 12:16:56|2026-06-16 12:16:56|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10004|2026-05-19 20:33:55|2026-06-18 20:33:55|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10002|2026-05-19 21:14:59|2026-06-18 21:14:59|2026-06-06 16:24:53|true|0|0.00|0.00|0|0|1.00
978-7-115-42880-2|10005|2026-05-19 21:17:10|2026-06-18 21:17:10||false|0|0.00|0.00|0|0|1.00
